Date,ssp245 Mean temperature (deg_F),ssp245 Max temperature (deg_F),ssp245 Min temperature (deg_F),ssp245 Precipitation (in/mo),ssp245 Runoff (in/mo),ssp245 Snow (in),ssp245 Soil storage (in),ssp245 Evap. deficit (in/mo),ssp370 Mean temperature (deg_F),ssp370 Max temperature (deg_F),ssp370 Min temperature (deg_F),ssp370 Precipitation (in/mo),ssp370 Runoff (in/mo),ssp370 Snow (in),ssp370 Soil storage (in),ssp370 Evap. deficit (in/mo),ssp585 Mean temperature (deg_F),ssp585 Max temperature (deg_F),ssp585 Min temperature (deg_F),ssp585 Precipitation (in/mo),ssp585 Runoff (in/mo),ssp585 Snow (in),ssp585 Soil storage (in),ssp585 Evap. deficit (in/mo)
 1/15/1950,18.211,26.109,10.314,5.03,0.511,9.56,2.642,0,17.959,26.003,9.915,5.011,0.52,9.307,2.648,0,17.895,25.749,10.041,4.909,0.512,9.541,2.648,0
 2/15/1950,24.146,33.149,15.143,3.723,0.891,11.887,2.792,0,24.503,33.497,15.508,3.488,0.937,11.32,2.795,0,24.458,33.498,15.418,3.687,0.925,11.771,2.794,0
 3/15/1950,30.769,42.289,19.248,3.273,1.979,12.011,2.847,0,30.732,42.435,19.029,3.358,2.005,11.528,2.846,0,30.743,42.381,19.104,3.193,1.98,11.849,2.848,0
 4/15/1950,38.604,52.473,24.734,2.379,2.993,9.938,2.758,0.002,38.812,52.647,24.977,2.371,2.984,9.461,2.754,0.002,38.401,52.168,24.633,2.356,2.967,9.822,2.76,0.002
 5/15/1950,45.838,61.007,30.668,2.425,3.807,5.847,2.473,0.04,45.647,60.733,30.561,2.567,3.802,5.536,2.487,0.04,45.659,60.726,30.592,2.417,3.787,5.779,2.475,0.039
 6/15/1950,52.9,68.885,36.915,2.58,4.411,0.945,1.901,0.292,52.943,68.855,37.03,2.648,4.316,0.866,1.916,0.279,52.812,68.753,36.871,2.662,4.419,0.926,1.918,0.296
 7/15/1950,59.674,78.234,41.114,1.309,2.568,0,0.551,1.29,59.612,78.137,41.087,1.208,2.475,0,0.503,1.317,59.53,78.085,40.975,1.289,2.562,0,0.55,1.28
 8/15/1950,59.196,77.713,40.678,1.294,1.32,0,0.242,1.984,59.108,77.67,40.546,1.248,1.273,0,0.211,2.035,59.126,77.792,40.459,1.219,1.314,0,0.229,2.036
 9/15/1950,49.97,66.743,33.197,2.067,0.783,0,0.719,0.556,49.742,66.477,33.007,2.207,0.785,0,0.795,0.549,49.983,66.924,33.042,1.993,0.775,0,0.673,0.59
10/15/1950,39.818,54.198,25.438,1.905,0.725,0,1.619,0.087,39.708,53.903,25.514,2.007,0.77,0,1.703,0.075,39.785,53.953,25.615,2.082,0.759,0,1.683,0.08
11/15/1950,26.703,35.14,18.266,4.054,1.01,1.843,2.506,0,26.627,35.091,18.162,3.874,1.026,1.748,2.512,0,26.885,35.209,18.561,4.173,1.116,1.834,2.518,0
12/15/1950,19.412,26.363,12.461,3.589,0.706,4.897,2.594,0,19.877,26.728,13.025,3.493,0.749,4.634,2.608,0,19.204,26.201,12.208,3.631,0.742,4.963,2.602,0
 1/15/1951,19.203,26.62,11.787,4.517,0.549,8.947,2.667,0,19.224,26.648,11.799,4.346,0.574,8.511,2.675,0,19.611,27,12.223,4.52,0.568,9.016,2.674,0
 2/15/1951,23.567,32.89,14.243,3.441,0.767,11.315,2.769,0,23.707,32.904,14.511,3.525,0.81,10.913,2.767,0,23.439,32.803,14.074,3.397,0.764,11.369,2.773,0
 3/15/1951,30.635,42.502,18.769,3.134,1.938,11.291,2.858,0,30.742,42.663,18.82,3.116,1.946,10.891,2.856,0,30.56,42.218,18.902,3.302,1.963,11.467,2.859,0
 4/15/1951,37.118,50.509,23.728,2.952,3.171,9.546,2.826,0,37.415,50.948,23.881,2.921,3.156,9.118,2.823,0,37.336,50.779,23.893,2.919,3.197,9.643,2.827,0
 5/15/1951,44.714,59.539,29.889,2.414,3.914,5.588,2.515,0.02,45.088,60.046,30.131,2.462,3.856,5.263,2.5,0.021,44.455,59.275,29.634,2.4,3.925,5.72,2.529,0.019
 6/15/1951,53.117,68.542,37.692,2.619,4.425,0.734,1.92,0.225,53.251,68.602,37.9,2.654,4.272,0.679,1.906,0.228,53.022,68.38,37.665,2.65,4.476,0.784,1.958,0.213
 7/15/1951,59.658,78.19,41.125,1.17,2.488,0,0.477,1.379,59.666,78.295,41.037,1.076,2.375,0,0.421,1.421,59.615,78.24,40.989,1.149,2.533,0,0.478,1.35
 8/15/1951,58.7,77.689,39.71,1.088,1.275,0,0.203,2.17,58.796,77.782,39.81,1.027,1.214,0,0.177,2.261,58.926,78,39.852,1.038,1.294,0,0.179,2.214
 9/15/1951,49.441,66.353,32.528,1.863,0.736,0,0.64,0.606,49.338,66.175,32.502,1.878,0.709,0,0.631,0.602,49.196,66.182,32.209,1.85,0.737,0,0.626,0.591
10/15/1951,39.908,53.712,26.103,2.174,0.772,0,1.672,0.085,39.995,54.01,25.979,2.141,0.762,0,1.618,0.091,39.753,53.614,25.893,2.172,0.769,0,1.683,0.084
11/15/1951,26.418,34.614,18.221,4.051,1.015,1.94,2.482,0,26.021,34.163,17.879,3.886,0.886,2.016,2.429,0,26.499,34.629,18.369,4.137,1.049,1.955,2.497,0
12/15/1951,18.816,25.964,11.668,3.659,0.678,5.133,2.564,0,18.828,26.055,11.602,3.56,0.625,5.094,2.513,0,18.309,25.511,11.107,3.706,0.686,5.216,2.573,0
 1/15/1952,18.735,26.331,11.139,4.716,0.549,9.335,2.662,0,18.793,26.335,11.25,4.964,0.537,9.502,2.621,0,19.02,26.539,11.501,4.888,0.566,9.559,2.676,0
 2/15/1952,22.57,32.291,12.849,3.769,0.72,12.138,2.745,0,22.807,32.429,13.184,3.936,0.745,12.403,2.713,0,22.673,32.354,12.992,3.824,0.766,12.35,2.754,0
 3/15/1952,27.741,40.179,15.302,2.561,1.42,12.519,2.818,0.001,27.883,40.203,15.563,2.671,1.437,12.869,2.802,0.001,27.372,39.752,14.991,2.712,1.457,12.859,2.827,0
 4/15/1952,37.577,51.433,23.72,2.265,2.671,10.476,2.801,0.003,37.979,51.788,24.17,2.154,2.668,10.696,2.795,0.003,37.389,51.23,23.548,2.309,2.749,10.775,2.813,0.001
 5/15/1952,45.912,61.104,30.72,2.508,3.851,6.036,2.557,0.028,46.043,61.263,30.823,2.496,3.837,6.248,2.548,0.03,45.988,61.344,30.632,2.504,3.952,6.192,2.56,0.027
 6/15/1952,51.977,66.916,37.038,2.786,4.617,0.846,2.093,0.171,51.875,66.733,37.015,2.74,4.616,1.017,2.084,0.177,52.119,67.127,37.11,2.751,4.73,0.85,2.074,0.173
 7/15/1952,59.4,78.16,40.639,1.108,2.608,0,0.499,1.207,59.473,78.22,40.725,1.123,2.684,0,0.511,1.201,59.33,78.064,40.595,1.243,2.68,0,0.558,1.163
 8/15/1952,58.039,76.543,39.535,1.52,1.367,0,0.343,1.831,58.174,76.738,39.609,1.517,1.404,0,0.355,1.847,57.991,76.5,39.482,1.53,1.4,0,0.36,1.774
