index,location_name,location_latitude,location_longitude,location_description,flowDataExist,river,calib_indiv,calib_geo_region,route_id,bmorph,USGS_ID,area_sqkm
0,LUC,43.52766907,-116.0595539,Boise River Lucky Peak Inflow,1,tributary,0,0,78024299,1,13202000,6941.1732
1,COT,43.7208,-123.0486,Cottage Grove,1,tributary,1,1,78024815,1,14153500,269.35896
2,KER,47.6803,-114.2458,Kerr,1,tributary,0,0,78015546,1,12372000,18352.66914
3,RIM,46.66261758,-121.1248017,RIMROCK RESERVOIR - TIETON RIVER,1,tributary,1,1,78018163,1,12491500,484.32813
4,FLTI,43.4583611,-110.7970278,"Flat Creek DS of cache cr nr Moose, WY",0,tributary,0,0,78024759,0,,
5,PASAY,49.09888889,-120.5822222,PASAYTEN RIVER ABOVE CALCITE CREEK,0,tributary,0,0,78012228,0,,
6,HRSI,43.9433333,-116.1966667,"Payette River nr Horseshoe Bend, ID",1,tributary,0,0,78024254,1,13247500,5749.7778
7,NIN,47.776,-117.545,Nine Mile,1,tributary,0,0,78015579,1,12426000,13467.948
8,WICO,43.68595349,-121.6880826,"DESCHUTES R BL WICIUP RES NR LA PINE, OREG",1,tributary,0,0,78024316,1,14056500,1250.96517
9,JASO,43.99818166,-122.9059126,MIDDLE FORK WILLAMETTE RIVER AT JASPER  (NWP),1,tributary,0,0,78021764,1,14152000,3470.5866
10,LLK,47.8367,-117.8403,Long Lake,1,tributary,0,0,78015577,1,12433000,15591.7398
11,LAPO,43.6890102,-121.5028029,"LITTLE DESCHUTES RIVER NEAR LA PINE, OR",1,tributary,1,1,78024528,1,14063000,2224.80141
12,CRABC,46.8298556,-119.8311549,CRAB CREEK NEAR BEVERLY,0,tributary,0,0,78017530,0,,
13,TRY,45.9458,-117.45,Troy,1,tributary,1,1,78019945,1,13333000,8837.04588
14,ELKNA,49.86611111,-114.8683333,ELK RIVER NEAR NATAL,0,tributary,0,0,78012205,0,,
15,WEL,47.9467,-119.8656,Wells,1,columbia,1,0,78015473,1,12450700,222998.139
16,SNAI,43.1975,-112.3691667,"Snake River nr Blackfoot, ID",0,tributary,0,0,78024033,0,,
17,KETFE,48.98138889,-118.7652778,KETTLE RIVER NEAR FERRY,0,tributary,0,0,78013893,0,,
18,LIM,46.0031,-116.9169,Lime Point,1,snake,0,0,78017466,1,13317660,227919.12
19,EMMI,43.93055556,-116.4427778,Payette River Black Canyon Reservoir Inflow,1,tributary,0,0,78024239,1,13249500,7070.6727
20,HEII,43.6125,-111.66,"Snake River nr Heise, ID",1,snake,1,0,78024140,1,13037500,14897.62248
21,SELLO,46.08666667,-115.5138889,SELWAY RIVER NR LOWELL,0,tributary,0,0,78017697,0,,
22,JOHNS,44.96166667,-115.5,JOHNSON CREEK AT YELLOW PINE,0,tributary,0,0,78022315,0,,
23,ROCCR,45.26457638,-120.0219745,ROCK CREEK ABOVE WHYTE PARK NEAR CONDON,0,tributary,0,0,78020193,0,,
24,SRMO,43.65405556,-110.7154722,"Snake River at Moose, WY",0,tributary,0,0,78024194,0,,
25,ASHNO,49.20916667,-119.9897222,ASHNOLA RIVER NEAR KEREMEOS,0,tributary,0,0,78012172,0,,
26,CLABE,46.8686333,-114.1277472,CLARK FORK BELOW MISSOULA,0,tributary,0,0,78017471,0,,
27,OKFAL,49.34055556,-119.5777778,OKANAGAN RIVER AT OKANAGON FALLS,0,tributary,0,0,78011978,0,,
28,PRLI,44.08527778,-115.6222222,"South Fork Payette River at Lowman, ID",1,tributary,1,0,78021942,1,13235000,1181.03544
29,LAG,46.8228,-122.3039,Lagrande,1,tributary,1,1,78018009,1,12086500,756.27708
30,CJSTR,42.94711569,-115.981204,SNAKE RIVER AT CJ STRIKE DAM,0,tributary,0,0,78026420,0,,
31,YUMW,47.19123078,-120.9470269,"YAKIMA RIVER AT CLE ELUM, WA",1,yakima,0,0,78015913,1,12479500,1300.17498
32,PSL,48.4903,-116.9042,Priest Lake,1,tributary,1,1,78013906,1,12393500,1481.47428
33,LOCLO,46.1508333,-115.5872222,LOCHSA RIVER NR LOWELL,0,tributary,0,0,78017893,0,,
34,WHB,45.7503,-116.3239,White Bird,1,tributary,1,1,78019782,1,13317000,35094.3645
35,SANPO,48.4587718,-118.7516928,WEST FORK SANPOIL RIVER NEAR REPUBIC,0,tributary,0,0,78014182,0,,
36,BLACK,46.8994111,-113.7563194,BLACKFOOT RIVER NEAR BONNER,0,tributary,0,0,78017532,0,,
37,POWDN,44.7682084,-117.831607,POWDER RIVER AT BAKER CITY,0,tributary,0,0,78022219,0,,
38,CAR,47.02788105,-122.0326105,"Carbon River near Fairfax, WA",1,tributary,0,0,78015567,0,12094000,204.60921
39,METOLIUS,44.6262275,-121.4839433,"METOLIUS RIVER NEAR GRANDVIEW, OR",1,tributary,0,0,78022273,1,14091500,818.43684
40,SLOCR,49.46055556,-117.5644444,SLOCAN RIVER NEAR CRESCENT VALLEY,0,tributary,0,0,78011919,0,,
41,KOOTE,49.61194444,-115.6344444,KOOTENAY RIVER AT FORT STEELE,0,tributary,0,0,78012053,0,,
42,OKANA,48.2812606,-119.7045047,OKANOGAN RIVER AT MALOTT,0,tributary,0,0,78014499,0,,
43,KLC,45.75666667,-121.2088889,Klickitat,0,tributary,0,0,78019869,0,,
44,HCD,45.25138889,-116.6972222,Hells Canyon,1,snake,0,0,78019722,1,13290450,189846.267
45,AMF,42.7675,-112.8794444,Snake River at Neeley American Falls Inflow,1,snake,0,0,78026484,1,13077000,35223.864
46,CLAGA,46.20824167,-112.76735,CLARK FORK NEAR GALEN,0,tributary,0,0,78017509,0,,
47,ANA,46.0972,-116.9767,Anatone,1,snake,1,0,78017465,1,13334300,240765.4704
