Date,ssp245 Mean temperature (deg_F),ssp245 Max temperature (deg_F),ssp245 Min temperature (deg_F),ssp245 Precipitation (in/mo),ssp245 Runoff (in/mo),ssp245 Snow (in),ssp245 Soil storage (in),ssp245 Evap. deficit (in/mo),ssp370 Mean temperature (deg_F),ssp370 Max temperature (deg_F),ssp370 Min temperature (deg_F),ssp370 Precipitation (in/mo),ssp370 Runoff (in/mo),ssp370 Snow (in),ssp370 Soil storage (in),ssp370 Evap. deficit (in/mo),ssp585 Mean temperature (deg_F),ssp585 Max temperature (deg_F),ssp585 Min temperature (deg_F),ssp585 Precipitation (in/mo),ssp585 Runoff (in/mo),ssp585 Snow (in),ssp585 Soil storage (in),ssp585 Evap. deficit (in/mo)
 1/15/1950,16.731,27.594,5.867,1.356,0.054,3.086,1.956,0,16.374,27.36,5.386,1.379,0.063,3.04,2.007,0,16.273,27.075,5.469,1.357,0.057,3.114,1.973,0
 2/15/1950,22.061,32.756,11.364,1.105,0.088,3.778,2.25,0,22.369,33.048,11.689,1.062,0.114,3.644,2.306,0,22.281,33.039,11.522,1.077,0.094,3.756,2.282,0
 3/15/1950,28.587,40.591,16.582,1.252,0.385,3.663,2.91,0.005,28.417,40.602,16.231,1.28,0.404,3.599,2.91,0.005,28.397,40.503,16.289,1.212,0.376,3.645,2.922,0.005
 4/15/1950,37.259,50.833,23.685,1.513,1.251,2.454,3.23,0.04,37.515,51.176,23.852,1.531,1.263,2.385,3.212,0.043,36.964,50.448,23.48,1.505,1.233,2.473,3.225,0.041
 5/15/1950,44.682,59.235,30.128,2.042,1.796,0.77,2.738,0.107,44.424,58.911,29.936,2.205,1.849,0.775,2.773,0.107,44.524,59.024,30.024,2.102,1.83,0.776,2.759,0.104
 6/15/1950,52.112,67.525,36.697,2.485,1.471,0.027,1.993,0.388,52.161,67.415,36.906,2.592,1.517,0.028,2.069,0.366,51.968,67.321,36.614,2.494,1.493,0.026,2.024,0.379
 7/15/1950,58.817,76.696,40.938,1.544,0.763,0,0.688,1.239,58.783,76.651,40.914,1.445,0.777,0,0.668,1.231,58.73,76.604,40.855,1.54,0.773,0,0.702,1.217
 8/15/1950,58.223,76.328,40.118,1.31,0.41,0,0.375,1.884,58.146,76.261,40.03,1.292,0.419,0,0.362,1.901,58.191,76.387,39.994,1.269,0.413,0,0.368,1.897
 9/15/1950,48.742,65.085,32.398,1.782,0.296,0,0.7,0.54,48.504,64.781,32.226,1.879,0.322,0,0.765,0.537,48.763,65.326,32.199,1.687,0.292,0,0.664,0.601
10/15/1950,40.257,55.643,24.869,1.004,0.238,0,1.22,0.212,40.082,55.337,24.826,1.036,0.263,0,1.292,0.2,40.219,55.466,24.972,1.077,0.239,0,1.25,0.196
