folder,esm,scenario,cmip
CCSM4_rcp85,CCSM4,rcp85,CMIP5
CMCC-CM_rcp45,CMCC-CM,rcp45,CMIP5
CMCC-CM_rcp85,CMCC-CM,rcp85,CMIP5
CNRM-CM5_rcp45,CNRM-CM5,rcp45,CMIP5
CNRM-CM5_rcp85,CNRM-CM5,rcp85,CMIP5
CanESM2_rcp45,CanESM2,rcp45,CMIP5
CanESM2_rcp85,CanESM2,rcp85,CMIP5
MIROC5_rcp45,MIROC5,rcp45,CMIP5
MIROC5_rcp85,MIROC5,rcp85,CMIP5
MRI-CGCM3_rcp45,MRI-CGCM3,rcp45,CMIP5
MRI-CGCM3_rcp85,MRI-CGCM3,rcp85,CMIP5
CMCC-CM2-SR5_ssp245,CMCC-CM2-SR5,ssp245,CMIP6
CMCC-CM2-SR5_ssp370,CMCC-CM2-SR5,ssp370,CMIP6
CMCC-CM2-SR5_ssp585,CMCC-CM2-SR5,ssp585,CMIP6
CanESM5_ssp245,CanESM5,ssp245,CMIP6
CanESM5_ssp370,CanESM5,ssp370,CMIP6
CanESM5_ssp585,CanESM5,ssp585,CMIP6
MIROC-ES2L_ssp245,MIROC-ES2L,ssp245,CMIP6
MIROC-ES2L_ssp370,MIROC-ES2L,ssp370,CMIP6
MIROC-ES2L_ssp585,MIROC-ES2L,ssp585,CMIP6
MPI-M.MPI-ESM1-2-LR_ssp245,MPI-M.MPI-ESM1-2-LR,ssp245,CMIP6
MPI-M.MPI-ESM1-2-LR_ssp370,MPI-M.MPI-ESM1-2-LR,ssp370,CMIP6
MPI-M.MPI-ESM1-2-LR_ssp585,MPI-M.MPI-ESM1-2-LR,ssp585,CMIP6
NorESM2-MM_ssp245,NorESM2-MM,ssp245,CMIP6
NorESM2-MM_ssp370,NorESM2-MM,ssp370,CMIP6
NorESM2-MM_ssp585,NorESM2-MM,ssp585,CMIP6
GMET_hist,GMET,hist,obs
