Site,Year,Month,date_yearmon,Date_sample,AFDM,CHLa,NH4_mg_L,NO3_mg_L,SPC,SRP_mg_L,TDS,TN_mg_L,TP_mg_L,Temp_oC,pH,TURBIDITY,DIN_mg_L
BM,1998,6,Jun 1998,NA,NA,NA,0.02,0.03,314,0.011,160,0.1,0.034,13.9,8.13,NA,0.05
BM,1998,7,Jul 1998,NA,NA,NA,0.02,0.04,NA,0.019,NA,0.1,0.074,NA,NA,NA,0.06
BM,1998,8,Aug 1998,NA,NA,NA,0.03,0.05,237,0.011,121,0.55,0.0235,22.4,7.95,NA,0.08
BM,1998,9,Sep 1998,NA,NA,NA,0.03,0.04666666666666667,252,0.01,127,0.16666666666666666,0.031,18.5,8.36,NA,0.07666666666666666
BM,1998,10,Oct 1998,NA,NA,NA,0.02,0.07,256,0.014,138,0.2,0.17,10.6,8.33,NA,0.09000000000000001
BM,1998,11,Nov 1998,NA,NA,NA,0.025,0.065,297,0.0125,149,0.25,0.02,5.9,8.17,NA,0.09
BM,1998,12,Dec 1998,NA,NA,NA,0.01,0.11,473,0.009,233,0.2,0.016,4.3,8.14,NA,0.12
BM,1999,1,Jan 1999,NA,NA,NA,0.1,0.13,403,0.016,203,NA,0.028,0.3,8.2,NA,0.23
BM,1999,3,Mar 1999,NA,NA,NA,0.09,0.13,302,0.0155,153,0.35,0.1185,5.3,8.9,NA,0.22
BM,1999,4,Apr 1999,NA,NA,NA,0.05,0.075,299,0.0085,150,0.25,0.037,8.9,7.91,NA,0.125
BM,1999,5,May 1999,NA,NA,NA,0.01,0.025,184.5,0.0085,91,0.55,0.10250000000000001,11.75,8.055,NA,0.035
BM,1999,6,Jun 1999,NA,NA,NA,NA,NA,165,0.008,81,0.2,0.052,15.3,6.25,NA,NA
BM,1999,7,Jul 1999,NA,NA,NA,0.05,0.09,243,0.00525,126,0.2,0.0355,22.8,NA,NA,0.14
BM,1999,8,Aug 1999,NA,NA,NA,0.07666666666666666,0.04666666666666667,268,0.017333333333333333,137,0.2,0.034666666666666665,21.6,8.42,NA,0.12333333333333332
