"Site","bracket","year","n_members","n_draws","P_exceed_naive","P_exceed_corrected","frac_temp_extrap"
"BM","high",2026,11,22000,0,0.0215454545454545,0
"BM","high",2027,11,22000,0,0.0102272727272727,0
"BM","high",2028,11,22000,0,0.0122272727272727,0
"BM","high",2029,11,22000,0,0.0194090909090909,0
"BM","high",2030,11,22000,0,0.0203181818181818,0
"BM","high",2031,11,22000,0,0.0170909090909091,0
"BM","high",2032,11,22000,0,0.0209090909090909,0
"BM","high",2033,11,22000,0,0.0315454545454545,0
"BM","high",2034,11,22000,0,0.0328181818181818,0
"BM","high",2035,11,22000,0,0.0398181818181818,0
"BM","high",2036,11,22000,0,0.0480454545454545,0
"BM","high",2037,11,22000,0,0.0587272727272727,0
"BM","high",2038,11,22000,0,0.0739090909090909,0
"BM","high",2039,11,22000,0,0.0830909090909091,0
"BM","high",2040,11,22000,0,0.0852272727272727,0
"BM","high",2041,11,22000,0,0.102590909090909,0
"BM","high",2042,11,22000,0,0.108954545454545,0
"BM","high",2043,11,22000,0,0.125090909090909,0
"BM","high",2044,11,22000,0,0.133636363636364,0
"BM","high",2045,11,22000,0,0.133909090909091,0
"BM","high",2046,11,22000,0,0.151636363636364,0
"BM","high",2047,11,22000,0,0.163090909090909,0
"BM","high",2048,11,22000,0,0.164363636363636,0
"BM","high",2049,11,22000,0,0.175272727272727,0
"BM","high",2050,11,22000,0,0.181318181818182,0
"BM","high",2051,11,22000,0,0.174636363636364,0
"BM","high",2052,11,22000,0,0.199,0
"BM","high",2053,11,22000,0,0.217409090909091,0
"BM","high",2054,11,22000,0,0.237363636363636,0
"BM","high",2055,11,22000,0,0.249181818181818,0
"BM","high",2056,11,22000,0,0.276636363636364,0
"BM","high",2057,11,22000,0,0.293045454545455,0
"BM","high",2058,11,22000,0,0.3095,0
"BM","high",2059,11,22000,0,0.333272727272727,0
"BM","high",2060,11,22000,0,0.342954545454545,0
"BM","high",2061,11,22000,0,0.370954545454545,0
"BM","high",2062,11,22000,0,0.370090909090909,0
"BM","high",2063,11,22000,0,0.390045454545455,0
"BM","high",2064,11,22000,0,0.403863636363636,0
"BM","high",2065,11,22000,0,0.437227272727273,0
"BM","high",2066,11,22000,0,0.452636363636364,0
"BM","high",2067,11,22000,0,0.462227272727273,1
"BM","high",2068,11,22000,0,0.473863636363636,1
"BM","high",2069,11,22000,0,0.488590909090909,1
"BM","high",2070,11,22000,0,0.513045454545455,1
"BM","high",2071,11,22000,0.0909090909090909,0.536909090909091,1
"BM","high",2072,11,22000,0.0909090909090909,0.532636363636364,1
"BM","high",2073,11,22000,0.0909090909090909,0.557045454545455,1
"BM","high",2074,11,22000,0.181818181818182,0.592409090909091,1
"BM","high",2075,11,22000,0.0909090909090909,0.607681818181818,1
"BM","high",2076,11,22000,0.363636363636364,0.617772727272727,1
"BM","high",2077,11,22000,0.272727272727273,0.617681818181818,1
"BM","high",2078,11,22000,0.272727272727273,0.648227272727273,1
"BM","high",2079,11,22000,0.272727272727273,0.658409090909091,1
"BM","high",2080,11,22000,0.272727272727273,0.663045454545454,1
"BM","high",2081,11,22000,0.272727272727273,0.666909090909091,1
"BM","high",2082,11,22000,0.454545454545455,0.6715,1
"BM","high",2083,11,22000,0.454545454545455,0.675090909090909,1
"BM","high",2084,11,22000,0.454545454545455,0.680545454545455,1
"BM","high",2085,11,22000,0.454545454545455,0.684318181818182,1
"BM","high",2086,11,22000,0.454545454545455,0.682,1
"BM","high",2087,11,22000,0.363636363636364,0.688272727272727,1
"BM","high",2088,11,22000,0.454545454545455,0.701318181818182,1
"BM","high",2089,11,22000,0.454545454545455,0.7055,1
"BM","high",2090,11,22000,0.454545454545455,0.703454545454545,1
"BM","high",2091,11,22000,0.545454545454545,0.697409090909091,1
"BM","high",2092,11,22000,0.545454545454545,0.700045454545455,1
"BM","high",2093,11,22000,0.545454545454545,0.707181818181818,1
"BM","high",2094,11,22000,0.545454545454545,0.708818181818182,1
"BM","high",2095,11,22000,0.454545454545455,0.7115,1
"BM","high",2096,11,22000,0.545454545454545,0.705636363636364,1
"BM","high",2097,11,22000,0.363636363636364,0.720954545454545,1
"BM","high",2098,11,22000,0.545454545454545,0.712181818181818,1
"BM","low",2026,10,20000,0,0.0293,0
"BM","low",2027,10,20000,0,0.0105,0
"BM","low",2028,10,20000,0,0.0116,0
"BM","low",2029,10,20000,0,0.0098,0
"BM","low",2030,10,20000,0,0.00655,0
"BM","low",2031,10,20000,0,0.0071,0
"BM","low",2032,10,20000,0,0.00985,0
"BM","low",2033,10,20000,0,0.0087,0
"BM","low",2034,10,20000,0,0.01005,0
"BM","low",2035,10,20000,0,0.0138,0
"BM","low",2036,10,20000,0,0.0183,0
"BM","low",2037,10,20000,0,0.01865,0
"BM","low",2038,10,20000,0,0.0202,0
"BM","low",2039,10,20000,0,0.01865,0
"BM","low",2040,10,20000,0,0.022,0
"BM","low",2041,10,20000,0,0.0193,0
"BM","low",2042,10,20000,0,0.02625,0
"BM","low",2043,10,20000,0,0.02445,0
"BM","low",2044,10,20000,0,0.0233,0
"BM","low",2045,10,20000,0,0.02475,0
"BM","low",2046,10,20000,0,0.02805,0
"BM","low",2047,10,20000,0,0.03015,0
"BM","low",2048,10,20000,0,0.0307,0
"BM","low",2049,10,20000,0,0.04075,0
"BM","low",2050,10,20000,0,0.05765,0
"BM","low",2051,10,20000,0,0.05625,0
"BM","low",2052,10,20000,0,0.0629,0
"BM","low",2053,10,20000,0,0.0706,0
"BM","low",2054,10,20000,0,0.0802,0
"BM","low",2055,10,20000,0,0.0756,0
"BM","low",2056,10,20000,0,0.0868,0
"BM","low",2057,10,20000,0,0.0878,0
"BM","low",2058,10,20000,0,0.0887,0
"BM","low",2059,10,20000,0,0.0975,0
"BM","low",2060,10,20000,0,0.0947,0
"BM","low",2061,10,20000,0,0.104,0
"BM","low",2062,10,20000,0,0.11305,0
"BM","low",2063,10,20000,0,0.1318,0
"BM","low",2064,10,20000,0,0.1336,0
"BM","low",2065,10,20000,0,0.1378,0
"BM","low",2066,10,20000,0,0.1513,0
"BM","low",2067,10,20000,0,0.1632,0
"BM","low",2068,10,20000,0,0.1741,0
"BM","low",2069,10,20000,0,0.17515,0
"BM","low",2070,10,20000,0,0.1705,0
"BM","low",2071,10,20000,0,0.1638,0
"BM","low",2072,10,20000,0,0.17455,0
"BM","low",2073,10,20000,0,0.1857,0
"BM","low",2074,10,20000,0,0.18435,0
"BM","low",2075,10,20000,0,0.1892,0
"BM","low",2076,10,20000,0,0.2001,0
"BM","low",2077,10,20000,0,0.20225,0
"BM","low",2078,10,20000,0,0.2154,0
"BM","low",2079,10,20000,0,0.21565,0
"BM","low",2080,10,20000,0,0.23065,0
"BM","low",2081,10,20000,0,0.2311,0
"BM","low",2082,10,20000,0,0.21835,0
"BM","low",2083,10,20000,0,0.2219,0
"BM","low",2084,10,20000,0,0.21065,0
"BM","low",2085,10,20000,0,0.21515,0
"BM","low",2086,10,20000,0,0.2027,0
"BM","low",2087,10,20000,0,0.21825,0
"BM","low",2088,10,20000,0,0.21525,0
"BM","low",2089,10,20000,0,0.21875,0
"BM","low",2090,10,20000,0,0.2217,0
"BM","low",2091,10,20000,0,0.22565,0
"BM","low",2092,10,20000,0,0.2353,0
"BM","low",2093,10,20000,0,0.22735,0
"BM","low",2094,10,20000,0,0.22655,0
"BM","low",2095,10,20000,0,0.2293,0
"BM","low",2096,10,20000,0,0.2327,0
"BM","low",2097,10,20000,0,0.2577,0
"BM","low",2098,10,20000,0,0.2487,0
"BN","high",2026,11,22000,0,0.349772727272727,0
"BN","high",2027,11,22000,0,0.3305,0
"BN","high",2028,11,22000,0,0.333636363636364,0
"BN","high",2029,11,22000,0,0.358090909090909,0
"BN","high",2030,11,22000,0,0.371545454545455,0
"BN","high",2031,11,22000,0,0.353272727272727,0
"BN","high",2032,11,22000,0,0.362318181818182,0
"BN","high",2033,11,22000,0,0.359272727272727,0
"BN","high",2034,11,22000,0,0.388590909090909,0
"BN","high",2035,11,22000,0,0.368863636363636,0
"BN","high",2036,11,22000,0,0.374681818181818,0
"BN","high",2037,11,22000,0,0.359636363636364,0
"BN","high",2038,11,22000,0,0.392954545454545,0
"BN","high",2039,11,22000,0,0.417772727272727,0
"BN","high",2040,11,22000,0,0.405636363636364,0
"BN","high",2041,11,22000,0,0.415090909090909,0
"BN","high",2042,11,22000,0,0.401772727272727,0
"BN","high",2043,11,22000,0,0.414909090909091,0
"BN","high",2044,11,22000,0,0.399727272727273,0
"BN","high",2045,11,22000,0,0.408681818181818,0
"BN","high",2046,11,22000,0,0.431636363636364,0
"BN","high",2047,11,22000,0,0.414818181818182,0
"BN","high",2048,11,22000,0,0.399272727272727,0
"BN","high",2049,11,22000,0,0.403409090909091,0
"BN","high",2050,11,22000,0,0.395909090909091,0
"BN","high",2051,11,22000,0,0.395136363636364,0
"BN","high",2052,11,22000,0,0.423727272727273,0
"BN","high",2053,11,22000,0,0.423954545454545,0
"BN","high",2054,11,22000,0,0.423636363636364,0
"BN","high",2055,11,22000,0.0909090909090909,0.429272727272727,0
"BN","high",2056,11,22000,0.181818181818182,0.438818181818182,0
"BN","high",2057,11,22000,0.0909090909090909,0.433863636363636,0
"BN","high",2058,11,22000,0.0909090909090909,0.447590909090909,0
"BN","high",2059,11,22000,0.0909090909090909,0.427681818181818,0
"BN","high",2060,11,22000,0,0.423590909090909,0
"BN","high",2061,11,22000,0,0.431136363636364,0
"BN","high",2062,11,22000,0,0.410272727272727,0
"BN","high",2063,11,22000,0,0.404227272727273,0
"BN","high",2064,11,22000,0,0.406227272727273,0
"BN","high",2065,11,22000,0,0.416318181818182,0
"BN","high",2066,11,22000,0,0.411454545454545,0
"BN","high",2067,11,22000,0,0.385045454545455,0
"BN","high",2068,11,22000,0,0.388090909090909,0
"BN","high",2069,11,22000,0,0.378818181818182,0
"BN","high",2070,11,22000,0,0.399863636363636,0
"BN","high",2071,11,22000,0,0.396954545454545,0
"BN","high",2072,11,22000,0,0.3545,0
"BN","high",2073,11,22000,0,0.356136363636364,0
"BN","high",2074,11,22000,0,0.360545454545455,0
"BN","high",2075,11,22000,0,0.345318181818182,0
"BN","high",2076,11,22000,0,0.333636363636364,0
"BN","high",2077,11,22000,0,0.316636363636364,0
"BN","high",2078,11,22000,0,0.309681818181818,0
"BN","high",2079,11,22000,0,0.316636363636364,0
"BN","high",2080,11,22000,0,0.293090909090909,0
"BN","high",2081,11,22000,0,0.288863636363636,0
"BN","high",2082,11,22000,0,0.304227272727273,0
"BN","high",2083,11,22000,0,0.3245,0
"BN","high",2084,11,22000,0,0.338181818181818,0
"BN","high",2085,11,22000,0,0.344363636363636,0
"BN","high",2086,11,22000,0,0.349590909090909,0
"BN","high",2087,11,22000,0,0.345636363636364,0
"BN","high",2088,11,22000,0,0.360227272727273,0
"BN","high",2089,11,22000,0,0.371409090909091,0
"BN","high",2090,11,22000,0,0.369545454545455,0
"BN","high",2091,11,22000,0,0.363590909090909,0
"BN","high",2092,11,22000,0,0.3635,0
"BN","high",2093,11,22000,0,0.386090909090909,0
"BN","high",2094,11,22000,0,0.383227272727273,0
"BN","high",2095,11,22000,0,0.366409090909091,0
"BN","high",2096,11,22000,0,0.359681818181818,0
"BN","high",2097,11,22000,0,0.377318181818182,0
"BN","high",2098,11,22000,0,0.38,0
"BN","low",2026,10,20000,0,0.32205,0
"BN","low",2027,10,20000,0,0.29165,0
"BN","low",2028,10,20000,0,0.29295,0
"BN","low",2029,10,20000,0,0.297,0
"BN","low",2030,10,20000,0,0.301,0
"BN","low",2031,10,20000,0,0.29585,0
"BN","low",2032,10,20000,0,0.32105,0
"BN","low",2033,10,20000,0,0.31405,0
"BN","low",2034,10,20000,0,0.3455,0
"BN","low",2035,10,20000,0,0.3376,0
"BN","low",2036,10,20000,0,0.3303,0
"BN","low",2037,10,20000,0,0.32355,0
"BN","low",2038,10,20000,0,0.31885,0
"BN","low",2039,10,20000,0,0.35605,0
"BN","low",2040,10,20000,0,0.3534,0
"BN","low",2041,10,20000,0,0.3285,0
"BN","low",2042,10,20000,0,0.35855,0
"BN","low",2043,10,20000,0,0.34385,0
"BN","low",2044,10,20000,0,0.3456,0
"BN","low",2045,10,20000,0,0.35445,0
"BN","low",2046,10,20000,0,0.3572,0
"BN","low",2047,10,20000,0,0.35885,0
"BN","low",2048,10,20000,0,0.35655,0
"BN","low",2049,10,20000,0,0.34735,0
"BN","low",2050,10,20000,0,0.37895,0
"BN","low",2051,10,20000,0,0.38505,0
"BN","low",2052,10,20000,0,0.40445,0
"BN","low",2053,10,20000,0,0.4225,0
"BN","low",2054,10,20000,0,0.39045,0
"BN","low",2055,10,20000,0,0.3799,0
"BN","low",2056,10,20000,0,0.4046,0
"BN","low",2057,10,20000,0,0.41625,0
"BN","low",2058,10,20000,0,0.4276,0
"BN","low",2059,10,20000,0,0.4421,0
"BN","low",2060,10,20000,0,0.4278,0
"BN","low",2061,10,20000,0,0.4452,0
"BN","low",2062,10,20000,0,0.45765,0
"BN","low",2063,10,20000,0,0.4694,0
"BN","low",2064,10,20000,0,0.4758,0
"BN","low",2065,10,20000,0,0.4928,0
"BN","low",2066,10,20000,0,0.47855,0
"BN","low",2067,10,20000,0,0.4736,0
"BN","low",2068,10,20000,0.1,0.4657,0
"BN","low",2069,10,20000,0.1,0.45915,0
"BN","low",2070,10,20000,0.1,0.4561,0
"BN","low",2071,10,20000,0,0.4352,0
"BN","low",2072,10,20000,0,0.43295,0
"BN","low",2073,10,20000,0,0.44495,0
"BN","low",2074,10,20000,0,0.4299,0
"BN","low",2075,10,20000,0,0.42815,0
"BN","low",2076,10,20000,0,0.4187,0
"BN","low",2077,10,20000,0,0.40905,0
"BN","low",2078,10,20000,0,0.4104,0
"BN","low",2079,10,20000,0,0.4018,0
