"Site","bracket","year","median_logCHLa","p10_logCHLa","p90_logCHLa","n_members","frac_temp_extrap"
"BM","high",2026,1.82812053399841,1.79675550123993,1.87074800454569,11,0
"BM","high",2027,1.79733268063693,1.75922827728907,1.84393986918078,11,0
"BM","high",2028,1.79469070229127,1.76363280751524,1.83491011886958,11,0
"BM","high",2029,1.82086449110346,1.77567733005908,1.84751221148365,11,0
"BM","high",2030,1.82802462903961,1.78212625868782,1.85601436086746,11,0
"BM","high",2031,1.82662171677492,1.79457115751642,1.85809930206393,11,0
"BM","high",2032,1.82736087643919,1.79074324743037,1.86547079514577,11,0
"BM","high",2033,1.82541957382955,1.78803092853687,1.88260197481917,11,0
"BM","high",2034,1.84770706197001,1.79906175083194,1.88938496181801,11,0
"BM","high",2035,1.84633406223208,1.80922956364685,1.89755105220642,11,0
"BM","high",2036,1.83845387100359,1.80804815565498,1.90242030696862,11,0
"BM","high",2037,1.84652676190696,1.81330445372672,1.90848814535323,11,0
"BM","high",2038,1.87312015095617,1.81139066067412,1.92713343372836,11,0
"BM","high",2039,1.89196219081162,1.82724588098481,1.94893239044015,11,0
"BM","high",2040,1.90127625275961,1.83424027696101,1.96137291804028,11,0
"BM","high",2041,1.90904469664225,1.83693972941543,1.96857834835398,11,0
"BM","high",2042,1.90971855268745,1.84166950782864,1.97301972866065,11,0
"BM","high",2043,1.92173259792096,1.85320032320005,1.97984397850829,11,0
"BM","high",2044,1.92051980957106,1.8687614361765,1.98522773924856,11,0
"BM","high",2045,1.92087784971603,1.84982396297077,1.99197078730741,11,0
"BM","high",2046,1.92920154847169,1.86004770050427,2.00391286679128,11,0
"BM","high",2047,1.92346814675332,1.86168821189226,2.00290699844207,11,0
"BM","high",2048,1.93690706981723,1.86780839725791,2.00244261612198,11,0
"BM","high",2049,1.93991262769621,1.88179944059033,2.01327854326178,11,0
"BM","high",2050,1.94069855782734,1.89746230692745,2.01616798811426,11,0
"BM","high",2051,1.94095737217361,1.90396125415086,1.99528866607004,11,0
"BM","high",2052,1.9591439127945,1.90942488693443,2.00285944792668,11,0
"BM","high",2053,1.97071008039829,1.92329408922873,2.0291989915474,11,0
"BM","high",2054,1.97433521148994,1.93625942195141,2.03058475360196,11,0
"BM","high",2055,1.97978791017461,1.93287265541249,2.0354774747317,11,0
"BM","high",2056,1.98716102986933,1.93044174988062,2.04712989913349,11,0
"BM","high",2057,1.99364895345336,1.9367616764883,2.04827220269455,11,0
"BM","high",2058,1.99992631686055,1.95109287018483,2.06065122263448,11,0
"BM","high",2059,2.01336205280856,1.95359469277676,2.05793650414224,11,0
"BM","high",2060,2.0178408773857,1.97263299570356,2.06036490781267,11,0
"BM","high",2061,2.01666177489677,1.94819762640187,2.07473458476639,11,0
"BM","high",2062,2.02125265015946,1.95458188537904,2.07892679784868,11,0
"BM","high",2063,2.0268532462576,1.96192459638538,2.08596654299501,11,0
"BM","high",2064,2.03696479603104,1.96912704579094,2.09752519800726,11,0
"BM","high",2065,2.04356810319935,1.98030249441927,2.09840476039169,11,0
"BM","high",2066,2.06728573991355,1.98201103152298,2.11799460169821,11,0
"BM","high",2067,2.06786515149748,1.99512743488474,2.11732058179539,11,1
"BM","high",2068,2.07974735597127,2.00876550314062,2.12086547428293,11,1
"BM","high",2069,2.08622324960273,2.00933580536124,2.12596622594984,11,1
"BM","high",2070,2.09599467368464,2.01112028764506,2.13201173844683,11,1
"BM","high",2071,2.10424004558123,2.01853621362878,2.1613135691796,11,1
"BM","high",2072,2.10278957076751,2.02649318775123,2.16838474458286,11,1
"BM","high",2073,2.10946244857663,2.03315160093923,2.17335202418312,11,1
"BM","high",2074,2.10969316577081,2.03453375342244,2.18369285132825,11,1
"BM","high",2075,2.11158104533922,2.04716864914156,2.1716234401307,11,1
"BM","high",2076,2.10368051857433,2.05375412983235,2.20200268246907,11,1
"BM","high",2077,2.09758040034929,2.06530224354009,2.2109925420034,11,1
"BM","high",2078,2.12579824692586,2.08058160275215,2.21882274037891,11,1
"BM","high",2079,2.12747318256858,2.08635186888325,2.22066916028451,11,1
"BM","high",2080,2.13401735493776,2.09064431250669,2.2346342040837,11,1
"BM","high",2081,2.12352305206993,2.1071918505377,2.23072482287102,11,1
"BM","high",2082,2.13588213905903,2.10415195149233,2.22966046449808,11,1
"BM","high",2083,2.13975508359926,2.10150068630069,2.23050446689954,11,1
"BM","high",2084,2.13818394763531,2.10429999404774,2.21974159096574,11,1
