"Site","reach","member","esm","scenario","bracket","year","anomaly","logQ_obs_cfs","Days_Since_Freshet","logTP_mg_L","Temp_oC","pred_logCHLa","temp_extrapolated","lag_y"
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2026,1.76044430926629,3.32012291173446,84.7997804878049,1.22492162326746,19.552,1.86210253041703,FALSE,2.15447364895621
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2027,1.78697265128045,3.33357910403467,84.5597804878049,1.23150115991893,19.606,1.82323100309945,FALSE,1.86210253041703
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2028,1.78777491968813,3.35727953104486,82.8997804878049,1.23838718788812,19.66,1.81173645080632,FALSE,1.82323100309945
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2029,1.78344267028663,3.37073247373853,82.0897804878049,1.2419523350594,19.714,1.80914144313515,FALSE,1.81173645080632
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2030,1.77012501471903,3.37225296844438,76.6597804878049,1.24478146802477,19.769,1.7984770102219,FALSE,1.80914144313515
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2031,1.77418984131798,3.38697825869202,75.2797804878049,1.2499638044234,19.823,1.7912457569476,FALSE,1.7984770102219
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2032,1.74012017627157,3.40185271031778,77.5597804878049,1.24910043224535,19.877,1.8102360937434,FALSE,1.7912457569476
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2033,1.75440055392838,3.41593450683513,75.1797804878048,1.25566850476546,19.931,1.79934439254238,FALSE,1.8102360937434
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2034,1.74637786985152,3.42090083764502,76.5597804878049,1.25576047319787,19.985,1.80765055297549,FALSE,1.79934439254238
"BM","CLABE","CanESM2|rcp45","CanESM2","rcp45","low",2035,1.78167767978972,3.42598372747778,75.6597804878049,1.26167507310878,20.039,1.7946322553355,FALSE,1.80765055297549
