"temp_variant","Site","bracket","median_logCHLa","p10_logCHLa","p90_logCHLa"
"V0","BM","high",2.18844828448617,2.10780482697299,2.22264068961469
"V0","BM","low",1.96789008307073,1.91347172218418,2.06874672526724
"V0","BN","high",2.01827620955868,1.96814205762848,2.12204316551648
"V0","BN","low",2.05429745237241,2.01361868904326,2.10356318551655
"V0","DL","high",2.28651021724259,2.18010105456641,2.35928891174886
"V0","DL","low",2.30294181868673,2.24428082599889,2.31533420266771
"V0","FH","high",1.68878861167114,1.64899837317697,1.73453827981978
"V0","FH","low",1.50460640247945,1.45065792316645,1.53548713159184
"V0","GR","high",2.06353258437147,2.01077663880553,2.1740616907624
"V0","GR","low",1.95816730393016,1.91813924744438,2.00945547451255
"V0","HU","high",2.14846435867723,2.06683624250537,2.18065529462637
"V0","HU","low",1.92771333736384,1.8705114103341,2.02783059420777
"V0","MS","high",2.20959537939966,2.13591935235712,2.24222003882528
"V0","MS","low",1.99062153390374,1.9440988037761,2.09246666480631
"V1","BM","high",2.10153346736237,2.02117226547371,2.13573890635432
"V1","BM","low",1.96789008307073,1.91347172218418,2.06874672526724
"V1","BN","high",2.01827620955868,1.96814205762848,2.12204316551648
"V1","BN","low",2.05429745237241,2.01361868904326,2.10356318551655
"V1","DL","high",2.28651021724259,2.18010105456641,2.35928891174886
"V1","DL","low",2.30294181868673,2.24428082599889,2.31533420266771
"V1","FH","high",1.59559373490382,1.55570626205262,1.64139486466166
"V1","FH","low",1.50460640247945,1.45065792316645,1.53548713159184
"V1","GR","high",2.06353258437147,2.01077663880553,2.1740616907624
"V1","GR","low",1.95816730393016,1.91813924744438,2.00945547451255
"V1","HU","high",1.87531418794688,1.79428249057916,1.90771900596003
"V1","HU","low",1.82871000541765,1.77193203528166,1.9288999240196
"V1","MS","high",2.20959537939966,2.13591935235712,2.24222003882528
"V1","MS","low",1.99062153390374,1.9440988037761,2.09246666480631
"V2","BM","high",2.18844828448617,2.10780482697299,2.22264068961469
"V2","BM","low",1.96789008307073,1.91347172218418,2.06874672526724
"V2","BN","high",2.01827620955868,1.96814205762848,2.12204316551648
"V2","BN","low",2.05429745237241,2.01361868904326,2.10356318551655
"V2","DL","high",2.28651021724259,2.18010105456641,2.35928891174886
"V2","DL","low",2.30294181868673,2.24428082599889,2.31533420266771
"V2","FH","high",1.68878861167114,1.64899837317697,1.73453827981978
"V2","FH","low",1.50460640247945,1.45065792316645,1.53548713159184
"V2","GR","high",2.06353258437147,2.01077663880553,2.1740616907624
"V2","GR","low",1.95816730393016,1.91813924744438,2.00945547451255
"V2","HU","high",2.14846435867723,2.06683624250537,2.18065529462637
"V2","HU","low",1.92771333736384,1.8705114103341,2.02783059420777
"V2","MS","high",2.20959537939966,2.13591935235712,2.24222003882528
"V2","MS","low",1.99062153390374,1.9440988037761,2.09246666480631
"V3mild","BM","high",2.18844828448617,2.10780482697299,2.22264068961469
"V3mild","BM","low",1.96789008307073,1.91347172218418,2.06874672526724
"V3mild","BN","high",2.01827620955868,1.96814205762848,2.12204316551648
"V3mild","BN","low",2.05429745237241,2.01361868904326,2.10356318551654
"V3mild","DL","high",2.2865102172426,2.18010105456641,2.35928891174886
"V3mild","DL","low",2.30294181868673,2.24428082599889,2.31533420266771
"V3mild","FH","high",1.68878861167114,1.64899837317697,1.73453827981978
"V3mild","FH","low",1.50460640247945,1.45065792316645,1.53548713159184
"V3mild","GR","high",2.06353258437147,2.01077663880553,2.1740616907624
"V3mild","GR","low",1.95816730393016,1.91813924744438,2.00945547451255
"V3mild","HU","high",1.88575359031655,1.80665337002376,1.91860806133716
"V3mild","HU","low",1.91926950510058,1.86219877146591,2.01940927360359
"V3mild","MS","high",2.20959537939966,2.13591935235712,2.24222003882528
"V3mild","MS","low",1.99062153390374,1.9440988037761,2.09246666480631
"V3strong","BM","high",2.18844828448617,2.10780482697299,2.22264068961469
"V3strong","BM","low",1.96789008307073,1.91347172218418,2.06874672526724
"V3strong","BN","high",2.01827620955868,1.96814205762848,2.12204316551648
"V3strong","BN","low",2.05429745237241,2.01361868904326,2.10356318551654
"V3strong","DL","high",2.2865102172426,2.18010105456641,2.35928891174886
"V3strong","DL","low",2.30294181868673,2.24428082599889,2.31533420266771
"V3strong","FH","high",1.68878861167114,1.64899837317697,1.73453827981978
"V3strong","FH","low",1.50460640247945,1.45065792316645,1.53548713159184
"V3strong","GR","high",2.06353258437147,2.01077663880553,2.1740616907624
"V3strong","GR","low",1.95816730393016,1.91813924744438,2.00945547451255
"V3strong","HU","high",1.70756846905921,1.63236586440375,1.74135974518714
"V3strong","HU","low",1.91400950307143,1.85714821175818,2.01418514855225
"V3strong","MS","high",2.20959537939966,2.13591935235712,2.24222003882528
"V3strong","MS","low",1.99062153390374,1.9440988037761,2.09246666480631
